Chave,Titulo,Data Criacao,Data Mudanca,Status Antigo,Status Novo,Autor
BF3E4-151,"Cloud Function: fn_load_bgq_dm_tratativa | HTTP Operator, executa query SQL do diretório functions/fn_load_bgq_dm_tratativa/sqls com projetos parametrizados (project_compras, project_sap, project_supply, project_brain) para popular as tabelas da história",2026-02-25T11:58:26.648-0300,2026-03-25T13:22:45.963-0300,Open,In progress,alan.correa
BF3E4-150,DAG - data-lake-compras-tratativa,2026-02-25T11:58:24.957-0300,2026-03-19T10:22:40.345-0300,Open,In progress,artur.mariano
BF3E4-297,vw_taxa_cambio,2026-03-05T11:22:42.178-0300,2026-03-25T10:51:40.889-0300,Waiting Test,Waiting Test,caio.fascina
BF3E4-297,vw_taxa_cambio,2026-03-05T11:22:42.178-0300,2026-03-25T10:50:41.226-0300,In progress,Waiting Test,caio.fascina
BF3E4-297,vw_taxa_cambio,2026-03-05T11:22:42.178-0300,2026-03-24T08:35:59.223-0300,Waiting Test,In progress,caio.fascina
BF3E4-297,vw_taxa_cambio,2026-03-05T11:22:42.178-0300,2026-03-23T16:54:57.632-0300,In progress,Waiting Test,caio.fascina
BF3E4-297,vw_taxa_cambio,2026-03-05T11:22:42.178-0300,2026-03-23T14:48:31.788-0300,Open,In progress,caio.fascina
BF3E4-297,vw_taxa_cambio,2026-03-05T11:22:42.178-0300,2026-03-18T13:25:46.931-0300,In progress,Open,caio.fascina
BF3E4-297,vw_taxa_cambio,2026-03-05T11:22:42.178-0300,2026-03-17T15:11:16.082-0300,Open,In progress,caio.fascina
BF3E4-115,vw_custo_consultivo,2026-02-25T11:56:11.388-0300,2026-03-25T17:39:20.111-0300,Open,In progress,caio.fascina
BF3E4-113,Tratativa.tb_causais | Carga via Cloud Function - Tabela Causais - Carga: DELETE/INSERT,2026-02-25T11:56:06.554-0300,2026-03-24T08:54:59.782-0300,Open,In progress,caio.fascina
BF3E4-112,Tratativa.tb_cambio_curva | Carga via Cloud Function - Tabela Câmbio Curva - Carga: DELETE/INSERT,2026-02-25T11:56:03.894-0300,2026-03-25T14:18:43.552-0300,In progress,Waiting Test,caio.fascina
BF3E4-112,Tratativa.tb_cambio_curva | Carga via Cloud Function - Tabela Câmbio Curva - Carga: DELETE/INSERT,2026-02-25T11:56:03.894-0300,2026-03-24T08:35:33.342-0300,Open,In progress,caio.fascina
BF3E4-111,Tratativa.tb_cambio | Carga via Cloud Function - Tabela Câmbio - Carga: DELETE/INSERT,2026-02-25T11:56:00.076-0300,2026-03-25T11:52:18.244-0300,In progress,Waiting Test,caio.fascina
BF3E4-111,Tratativa.tb_cambio | Carga via Cloud Function - Tabela Câmbio - Carga: DELETE/INSERT,2026-02-25T11:56:00.076-0300,2026-03-24T08:35:17.051-0300,Waiting Test,In progress,caio.fascina
BF3E4-111,Tratativa.tb_cambio | Carga via Cloud Function - Tabela Câmbio - Carga: DELETE/INSERT,2026-02-25T11:56:00.076-0300,2026-03-20T17:12:33.462-0300,In progress,Waiting Test,caio.fascina
BF3E4-111,Tratativa.tb_cambio | Carga via Cloud Function - Tabela Câmbio - Carga: DELETE/INSERT,2026-02-25T11:56:00.076-0300,2026-03-18T13:25:55.319-0300,Open,In progress,caio.fascina
BF3E4-110,Tratativa.tb_custo_consultivo | Carga via Cloud Function - Tabela Custo Consultivo - Carga: DELETE/INSERT,2026-02-25T11:55:57.392-0300,2026-03-25T10:17:36.366-0300,In progress,Waiting Test,caio.fascina
BF3E4-110,Tratativa.tb_custo_consultivo | Carga via Cloud Function - Tabela Custo Consultivo - Carga: DELETE/INSERT,2026-02-25T11:55:57.392-0300,2026-03-23T16:55:23.334-0300,Open,In progress,caio.fascina
BF3E4-110,Tratativa.tb_custo_consultivo | Carga via Cloud Function - Tabela Custo Consultivo - Carga: DELETE/INSERT,2026-02-25T11:55:57.392-0300,2026-03-23T14:48:26.760-0300,In progress,Open,caio.fascina
BF3E4-110,Tratativa.tb_custo_consultivo | Carga via Cloud Function - Tabela Custo Consultivo - Carga: DELETE/INSERT,2026-02-25T11:55:57.392-0300,2026-03-20T18:36:09.955-0300,Open,In progress,caio.fascina
BF3E4-110,Tratativa.tb_custo_consultivo | Carga via Cloud Function - Tabela Custo Consultivo - Carga: DELETE/INSERT,2026-02-25T11:55:57.392-0300,2026-03-18T13:22:55.957-0300,In progress,Open,caio.fascina
BF3E4-110,Tratativa.tb_custo_consultivo | Carga via Cloud Function - Tabela Custo Consultivo - Carga: DELETE/INSERT,2026-02-25T11:55:57.392-0300,2026-03-17T15:10:43.090-0300,Open,In progress,caio.fascina
BF3E4-109,"Cloud Function: fn_load_bgq_dm_tratativa | HTTP Operator, executa query SQL do diretório functions/fn_load_bgq_dm_tratativa/sqls com projetos parametrizados (project_compras, project_sap, project_supply, project_brain) para popular as tabelas da história",2026-02-25T11:55:53.797-0300,2026-03-20T18:36:38.692-0300,In progress,Open,caio.fascina
BF3E4-109,"Cloud Function: fn_load_bgq_dm_tratativa | HTTP Operator, executa query SQL do diretório functions/fn_load_bgq_dm_tratativa/sqls com projetos parametrizados (project_compras, project_sap, project_supply, project_brain) para popular as tabelas da história",2026-02-25T11:55:53.797-0300,2026-03-17T15:10:45.445-0300,Open,In progress,caio.fascina
BF3E4-108,DAG - data-lake-compras-tratativa,2026-02-25T11:55:50.243-0300,2026-03-17T15:11:00.788-0300,Open,In progress,caio.fascina
BF3E4-295,vw_grupo_compras,2026-03-02T16:53:58.509-0300,2026-03-19T10:15:03.847-0300,In progress,Waiting Test,jose.souto2
