Chave,Titulo,Data Criacao,Data Mudanca,Status Antigo,Status Novo,Autor
BF3E4-5221,[SHARED SERVICES - 56] Entidade: Workday - Views Normalized - Dados Pessoais Parte 1 - TAMANHO: G,2026-03-16T10:34:11.541-0300,2026-03-24T10:29:34.119-0300,Refined,To Do,fabio.bastos
BF3E4-5221,[SHARED SERVICES - 56] Entidade: Workday - Views Normalized - Dados Pessoais Parte 1 - TAMANHO: G,2026-03-16T10:34:11.541-0300,2026-03-18T15:18:01.568-0300,IN REFINEMENT,Refined,fabio.bastos
BF3E4-5221,[SHARED SERVICES - 56] Entidade: Workday - Views Normalized - Dados Pessoais Parte 1 - TAMANHO: G,2026-03-16T10:34:11.541-0300,2026-03-18T11:59:56.502-0300,WAITING REFINEMENT,IN REFINEMENT,fabio.bastos
BF3E4-5221,[SHARED SERVICES - 56] Entidade: Workday - Views Normalized - Dados Pessoais Parte 1 - TAMANHO: G,2026-03-16T10:34:11.541-0300,2026-03-18T11:06:34.708-0300,Open,WAITING REFINEMENT,fabio.bastos
BF3E4-5213,"[SHARED SERVICES - 55] Entidade: Workday - Dados Pessoais, Remuneração, Benefícios e Financeiro - Views Analíticas - TAMANHO: M",2026-03-16T10:33:53.605-0300,2026-03-24T10:29:36.913-0300,Refined,To Do,fabio.bastos
BF3E4-5213,"[SHARED SERVICES - 55] Entidade: Workday - Dados Pessoais, Remuneração, Benefícios e Financeiro - Views Analíticas - TAMANHO: M",2026-03-16T10:33:53.605-0300,2026-03-18T15:17:32.240-0300,IN REFINEMENT,Refined,fabio.bastos
BF3E4-5213,"[SHARED SERVICES - 55] Entidade: Workday - Dados Pessoais, Remuneração, Benefícios e Financeiro - Views Analíticas - TAMANHO: M",2026-03-16T10:33:53.605-0300,2026-03-18T11:59:59.368-0300,WAITING REFINEMENT,IN REFINEMENT,fabio.bastos
BF3E4-5213,"[SHARED SERVICES - 55] Entidade: Workday - Dados Pessoais, Remuneração, Benefícios e Financeiro - Views Analíticas - TAMANHO: M",2026-03-16T10:33:53.605-0300,2026-03-18T11:06:31.073-0300,Open,WAITING REFINEMENT,fabio.bastos
BF3E4-5200,[SHARED SERVICES - 54] Entidade: Workday - Contratação e Organização - Ingestão Base - TAMANHO: G,2026-03-16T10:33:26.486-0300,2026-03-18T12:00:01.863-0300,WAITING REFINEMENT,IN REFINEMENT,fabio.bastos
BF3E4-5200,[SHARED SERVICES - 54] Entidade: Workday - Contratação e Organização - Ingestão Base - TAMANHO: G,2026-03-16T10:33:26.486-0300,2026-03-18T11:06:27.063-0300,Open,WAITING REFINEMENT,fabio.bastos
BF3E4-5186,"[SHARED SERVICES - 53] Entidade: Workday - Dados Pessoais, Remuneração, Benefícios e Financeiro - Ingestão Base - TAMANHO: G",2026-03-16T10:32:57.161-0300,2026-03-18T15:09:39.212-0300,IN REFINEMENT,Refined,fabio.bastos
BF3E4-5186,"[SHARED SERVICES - 53] Entidade: Workday - Dados Pessoais, Remuneração, Benefícios e Financeiro - Ingestão Base - TAMANHO: G",2026-03-16T10:32:57.161-0300,2026-03-18T12:00:04.820-0300,WAITING REFINEMENT,IN REFINEMENT,fabio.bastos
BF3E4-5186,"[SHARED SERVICES - 53] Entidade: Workday - Dados Pessoais, Remuneração, Benefícios e Financeiro - Ingestão Base - TAMANHO: G",2026-03-16T10:32:57.161-0300,2026-03-18T11:06:24.430-0300,Open,WAITING REFINEMENT,fabio.bastos
BF3E4-5181,[SHARED SERVICES - 52] Entidade: Tabelas Manuais - TAMANHO: P,2026-03-16T10:32:45.894-0300,2026-03-18T12:00:07.661-0300,WAITING REFINEMENT,IN REFINEMENT,fabio.bastos
BF3E4-5181,[SHARED SERVICES - 52] Entidade: Tabelas Manuais - TAMANHO: P,2026-03-16T10:32:45.894-0300,2026-03-18T11:06:21.920-0300,Open,WAITING REFINEMENT,fabio.bastos
BF3E4-5174,[SHARED SERVICES - 51] Entidade: Documentos Fiscais TaxOne - Views Analíticas - TAMANHO: M,2026-03-16T10:32:31.926-0300,2026-03-24T10:29:53.212-0300,Refined,To Do,fabio.bastos
BF3E4-5174,[SHARED SERVICES - 51] Entidade: Documentos Fiscais TaxOne - Views Analíticas - TAMANHO: M,2026-03-16T10:32:31.926-0300,2026-03-18T15:06:55.956-0300,IN REFINEMENT,Refined,fabio.bastos
BF3E4-5174,[SHARED SERVICES - 51] Entidade: Documentos Fiscais TaxOne - Views Analíticas - TAMANHO: M,2026-03-16T10:32:31.926-0300,2026-03-18T12:00:10.552-0300,WAITING REFINEMENT,IN REFINEMENT,fabio.bastos
BF3E4-5174,[SHARED SERVICES - 51] Entidade: Documentos Fiscais TaxOne - Views Analíticas - TAMANHO: M,2026-03-16T10:32:31.926-0300,2026-03-18T11:06:19.239-0300,Open,WAITING REFINEMENT,fabio.bastos
BF3E4-5163,[SHARED SERVICES - 50] Entidade: Documentos Fiscais TaxOne - Ingestão API Síncrona - TAMANHO: G,2026-03-16T10:32:09.304-0300,2026-03-18T12:00:17.168-0300,WAITING REFINEMENT,IN REFINEMENT,fabio.bastos
BF3E4-5163,[SHARED SERVICES - 50] Entidade: Documentos Fiscais TaxOne - Ingestão API Síncrona - TAMANHO: G,2026-03-16T10:32:09.304-0300,2026-03-18T11:06:16.314-0300,Open,WAITING REFINEMENT,fabio.bastos
BF3E4-5159,[SHARED SERVICES - 49] Entidade: Logs de SLA de Itens - Portal GT - TAMANHO: P,2026-03-16T10:32:00.204-0300,2026-03-18T12:00:20.328-0300,WAITING REFINEMENT,IN REFINEMENT,fabio.bastos
BF3E4-5159,[SHARED SERVICES - 49] Entidade: Logs de SLA de Itens - Portal GT - TAMANHO: P,2026-03-16T10:32:00.204-0300,2026-03-18T11:06:13.015-0300,Open,WAITING REFINEMENT,fabio.bastos
BF3E4-5154,[SHARED SERVICES - 48] Entidade: Egate - Refaturamento - TAMANHO: P,2026-03-16T10:31:48.906-0300,2026-03-24T10:29:56.165-0300,Refined,To Do,fabio.bastos
BF3E4-5154,[SHARED SERVICES - 48] Entidade: Egate - Refaturamento - TAMANHO: P,2026-03-16T10:31:48.906-0300,2026-03-18T15:06:07.681-0300,IN REFINEMENT,Refined,fabio.bastos
BF3E4-5154,[SHARED SERVICES - 48] Entidade: Egate - Refaturamento - TAMANHO: P,2026-03-16T10:31:48.906-0300,2026-03-18T12:00:23.261-0300,WAITING REFINEMENT,IN REFINEMENT,fabio.bastos
BF3E4-5154,[SHARED SERVICES - 48] Entidade: Egate - Refaturamento - TAMANHO: P,2026-03-16T10:31:48.906-0300,2026-03-18T11:06:10.225-0300,Open,WAITING REFINEMENT,fabio.bastos
