Chave,Titulo,Data Criacao,Data Mudanca,Status Antigo,Status Novo,Autor
BF3E4-3206,[RH - 7] Entidade: Vetorh - Ponto e Jornada Parte 2 - TAMANHO: P,2026-03-11T12:26:32.492-0300,2026-03-19T13:55:05.481-0300,IN REFINEMENT,Refined,italo.siqueira
BF3E4-3206,[RH - 7] Entidade: Vetorh - Ponto e Jornada Parte 2 - TAMANHO: P,2026-03-11T12:26:32.492-0300,2026-03-19T13:55:02.612-0300,WAITING REFINEMENT,IN REFINEMENT,italo.siqueira
BF3E4-3206,[RH - 7] Entidade: Vetorh - Ponto e Jornada Parte 2 - TAMANHO: P,2026-03-11T12:26:32.492-0300,2026-03-19T13:54:58.986-0300,Open,WAITING REFINEMENT,italo.siqueira
BF3E4-3191,[RH - 6] Entidade: Vetorh - Ponto e Jornada Parte 1 - TAMANHO: G,2026-03-11T12:26:03.927-0300,2026-03-19T13:54:06.948-0300,IN REFINEMENT,Refined,italo.siqueira
BF3E4-3191,[RH - 6] Entidade: Vetorh - Ponto e Jornada Parte 1 - TAMANHO: G,2026-03-11T12:26:03.927-0300,2026-03-19T13:54:04.482-0300,WAITING REFINEMENT,IN REFINEMENT,italo.siqueira
BF3E4-3191,[RH - 6] Entidade: Vetorh - Ponto e Jornada Parte 1 - TAMANHO: G,2026-03-11T12:26:03.927-0300,2026-03-19T13:54:02.061-0300,Open,WAITING REFINEMENT,italo.siqueira
BF3E4-3177,[RH - 5] Entidade: Vetorh - Históricos de Movimentação - TAMANHO: G,2026-03-11T12:25:40.449-0300,2026-03-19T13:53:12.877-0300,IN REFINEMENT,Refined,italo.siqueira
BF3E4-3177,[RH - 5] Entidade: Vetorh - Históricos de Movimentação - TAMANHO: G,2026-03-11T12:25:40.449-0300,2026-03-19T13:53:09.814-0300,WAITING REFINEMENT,IN REFINEMENT,italo.siqueira
BF3E4-3177,[RH - 5] Entidade: Vetorh - Históricos de Movimentação - TAMANHO: G,2026-03-11T12:25:40.449-0300,2026-03-19T13:53:02.917-0300,Open,WAITING REFINEMENT,italo.siqueira
BF3E4-3177,[RH - 5] Entidade: Vetorh - Históricos de Movimentação - TAMANHO: G,2026-03-11T12:25:40.449-0300,2026-03-19T13:53:00.279-0300,WAITING REFINEMENT,Open,italo.siqueira
BF3E4-3177,[RH - 5] Entidade: Vetorh - Históricos de Movimentação - TAMANHO: G,2026-03-11T12:25:40.449-0300,2026-03-19T13:52:57.755-0300,Open,WAITING REFINEMENT,italo.siqueira
BF3E4-3173,[RH - 4] Entidade: Vetorh - View PCD - TAMANHO: P,2026-03-11T12:25:30.662-0300,2026-03-19T11:57:44.166-0300,IN REFINEMENT,Refined,italo.siqueira
BF3E4-3173,[RH - 4] Entidade: Vetorh - View PCD - TAMANHO: P,2026-03-11T12:25:30.662-0300,2026-03-19T11:57:39.441-0300,WAITING REFINEMENT,IN REFINEMENT,italo.siqueira
BF3E4-3173,[RH - 4] Entidade: Vetorh - View PCD - TAMANHO: P,2026-03-11T12:25:30.662-0300,2026-03-19T11:57:32.621-0300,Open,WAITING REFINEMENT,italo.siqueira
BF3E4-3158,[RH - 3] Entidade: Vetorh - Dados de Colaboradores Parte 1 - TAMANHO: G,2026-03-11T12:25:04.331-0300,2026-03-19T13:42:26.908-0300,IN REFINEMENT,Refined,italo.siqueira
