Chave,Titulo,Data Criacao,Data Mudanca,Status Antigo,Status Novo,Autor
BF3E4-880,[FINANCE - 9] Entidade: CTe Entrada CMA - TAMANHO: M,2026-03-06T18:56:26.977-0300,2026-03-16T14:32:09.069-0300,IN REFINEMENT,Refined,willian.santos
BF3E4-880,[FINANCE - 9] Entidade: CTe Entrada CMA - TAMANHO: M,2026-03-06T18:56:26.977-0300,2026-03-16T14:32:00.136-0300,WAITING REFINEMENT,IN REFINEMENT,willian.santos
BF3E4-880,[FINANCE - 9] Entidade: CTe Entrada CMA - TAMANHO: M,2026-03-06T18:56:26.977-0300,2026-03-16T14:31:55.504-0300,Open,WAITING REFINEMENT,willian.santos
BF3E4-866,[FINANCE - 8] Entidade: CTe Entrada FPT - TAMANHO: M,2026-03-06T18:55:49.478-0300,2026-03-16T14:31:10.849-0300,IN REFINEMENT,Refined,willian.santos
BF3E4-866,[FINANCE - 8] Entidade: CTe Entrada FPT - TAMANHO: M,2026-03-06T18:55:49.478-0300,2026-03-16T14:31:08.036-0300,WAITING REFINEMENT,IN REFINEMENT,willian.santos
BF3E4-866,[FINANCE - 8] Entidade: CTe Entrada FPT - TAMANHO: M,2026-03-06T18:55:49.478-0300,2026-03-16T14:31:04.644-0300,Open,WAITING REFINEMENT,willian.santos
BF3E4-852,[FINANCE - 7] Entidade: CTe Entrada FIAT - TAMANHO: M,2026-03-06T18:55:17.504-0300,2026-03-16T14:30:26.433-0300,IN REFINEMENT,Refined,willian.santos
BF3E4-852,[FINANCE - 7] Entidade: CTe Entrada FIAT - TAMANHO: M,2026-03-06T18:55:17.504-0300,2026-03-16T14:30:23.525-0300,WAITING REFINEMENT,IN REFINEMENT,willian.santos
BF3E4-852,[FINANCE - 7] Entidade: CTe Entrada FIAT - TAMANHO: M,2026-03-06T18:55:17.504-0300,2026-03-16T14:30:20.772-0300,Open,WAITING REFINEMENT,willian.santos
BF3E4-838,[FINANCE - 6] Entidade: NFe Entrada Teksid - TAMANHO: M,2026-03-06T18:54:37.106-0300,2026-03-16T14:29:42.302-0300,IN REFINEMENT,Refined,willian.santos
BF3E4-838,[FINANCE - 6] Entidade: NFe Entrada Teksid - TAMANHO: M,2026-03-06T18:54:37.106-0300,2026-03-16T14:29:39.620-0300,WAITING REFINEMENT,IN REFINEMENT,willian.santos
BF3E4-838,[FINANCE - 6] Entidade: NFe Entrada Teksid - TAMANHO: M,2026-03-06T18:54:37.106-0300,2026-03-16T14:29:37.004-0300,Open,WAITING REFINEMENT,willian.santos
BF3E4-824,[FINANCE - 5] Entidade: NFe Entrada PCMA - TAMANHO: M,2026-03-06T18:53:54.962-0300,2026-03-16T14:28:53.624-0300,IN REFINEMENT,Refined,willian.santos
BF3E4-824,[FINANCE - 5] Entidade: NFe Entrada PCMA - TAMANHO: M,2026-03-06T18:53:54.962-0300,2026-03-16T14:28:49.350-0300,WAITING REFINEMENT,IN REFINEMENT,willian.santos
BF3E4-824,[FINANCE - 5] Entidade: NFe Entrada PCMA - TAMANHO: M,2026-03-06T18:53:54.962-0300,2026-03-16T14:28:45.056-0300,Open,WAITING REFINEMENT,willian.santos
